English Variable,Category,Sub-Category,Measurement,Formatted
Air Humidity Ratio,Air,,Humidity Ratio,Air: Humidity Ratio
Air Relative Humidity,Air,,Relative Humidity,Air: Relative Humidity
Air System Sensible Cooling Energy,Air System,,Sensible Cooling Energy,Air System: Sensible Cooling Energy
Air System Sensible Cooling Rate,Air System,,Sensible Cooling Rate,Air System: Sensible Cooling Rate
Air System Sensible Heating Energy,Air System,,Sensible Heating Energy,Air System: Sensible Heating Energy
Air System Sensible Heating Rate,Air System,,Sensible Heating Rate,Air System: Sensible Heating Rate
Air Temperature,Air,,Temperature,Air: Temperature
Air Terminal Sensible Cooling Energy,Air Terminal,,Sensible Cooling Energy,Air Terminal: Sensible Cooling Energy
Air Terminal Sensible Cooling Rate,Air Terminal,,Sensible Cooling Rate,Air Terminal: Sensible Cooling Rate
Air Terminal Sensible Heating Energy,Air Terminal,,Sensible Heating Energy,Air Terminal: Sensible Heating Energy
Air Terminal Sensible Heating Rate,Air Terminal,,Sensible Heating Rate,Air Terminal: Sensible Heating Rate
Dehumidifier Electricity Energy,Dehumidifier,,Electricity Energy,Dehumidifier: Electricity Energy
Dehumidifier Electricity Rate,Dehumidifier,,Electricity Rate,Dehumidifier: Electricity Rate
Dehumidifier Off Cycle Parasitic Electricity Energy,Dehumidifier,,Off Cycle Parasitic Electricity Energy,Dehumidifier: Off Cycle Parasitic Electricity Energy
Dehumidifier Off Cycle Parasitic Electricity Rate,Dehumidifier,,Off Cycle Parasitic Electricity Rate,Dehumidifier: Off Cycle Parasitic Electricity Rate
Dehumidifier Outlet Air Temperature,Dehumidifier,,Outlet Air Temperature,Dehumidifier: Outlet Air Temperature
Dehumidifier Part Load Ratio,Dehumidifier,,Part Load Ratio,Dehumidifier: Part Load Ratio
Dehumidifier Removed Water Mass,Dehumidifier,,Removed Water Mass,Dehumidifier: Removed Water Mass
Dehumidifier Removed Water Mass Flow Rate,Dehumidifier,,Removed Water Mass Flow Rate,Dehumidifier: Removed Water Mass Flow Rate
Dehumidifier Runtime Fraction,Dehumidifier,,Runtime Fraction,Dehumidifier: Runtime Fraction
Dehumidifier Sensible Heating Energy,Dehumidifier,,Sensible Heating Energy,Dehumidifier: Sensible Heating Energy
Dehumidifier Sensible Heating Rate,Dehumidifier,,Sensible Heating Rate,Dehumidifier: Sensible Heating Rate
Electric Equipment Convective Heating Energy,Electric Equipment,,Convective Heating Energy,Electric Equipment: Convective Heating Energy
Electric Equipment Convective Heating Rate,Electric Equipment,,Convective Heating Rate,Electric Equipment: Convective Heating Rate
Electric Equipment Electricity Energy,Electric Equipment,,Electricity Energy,Electric Equipment: Electricity Energy
Electric Equipment Electricity Rate,Electric Equipment,,Electricity Rate,Electric Equipment: Electricity Rate
Electric Equipment Latent Gain Energy,Electric Equipment,,Latent Gain Energy,Electric Equipment: Latent Gain Energy
Electric Equipment Latent Gain Rate,Electric Equipment,,Latent Gain Rate,Electric Equipment: Latent Gain Rate
Electric Equipment Lost Heat Energy,Electric Equipment,,Lost Heat Energy,Electric Equipment: Lost Heat Energy
Electric Equipment Lost Heat Rate,Electric Equipment,,Lost Heat Rate,Electric Equipment: Lost Heat Rate
Electric Equipment Radiant Heating Energy,Electric Equipment,,Radiant Heating Energy,Electric Equipment: Radiant Heating Energy
Electric Equipment Radiant Heating Rate,Electric Equipment,,Radiant Heating Rate,Electric Equipment: Radiant Heating Rate
Electric Equipment Total Heating Energy,Electric Equipment,,Total Heating Energy,Electric Equipment: Total Heating Energy
Electric Equipment Total Heating Rate,Electric Equipment,,Total Heating Rate,Electric Equipment: Total Heating Rate
Exterior Windows Total Transmitted Beam Solar Radiation Energy,Exterior Windows,,Total Transmitted Beam Solar Radiation Energy,Exterior Windows: Total Transmitted Beam Solar Radiation Energy
Exterior Windows Total Transmitted Beam Solar Radiation Rate,Exterior Windows,,Total Transmitted Beam Solar Radiation Rate,Exterior Windows: Total Transmitted Beam Solar Radiation Rate
Exterior Windows Total Transmitted Diffuse Solar Radiation Energy,Exterior Windows,,Total Transmitted Diffuse Solar Radiation Energy,Exterior Windows: Total Transmitted Diffuse Solar Radiation Energy
Exterior Windows Total Transmitted Diffuse Solar Radiation Rate,Exterior Windows,,Total Transmitted Diffuse Solar Radiation Rate,Exterior Windows: Total Transmitted Diffuse Solar Radiation Rate
Gas Equipment Convective Heating Energy,Gas Equipment,,Convective Heating Energy,Gas Equipment: Convective Heating Energy
Gas Equipment Convective Heating Rate,Gas Equipment,,Convective Heating Rate,Gas Equipment: Convective Heating Rate
Gas Equipment Latent Gain Energy,Gas Equipment,,Latent Gain Energy,Gas Equipment: Latent Gain Energy
Gas Equipment Latent Gain Rate,Gas Equipment,,Latent Gain Rate,Gas Equipment: Latent Gain Rate
Gas Equipment Lost Heat Energy,Gas Equipment,,Lost Heat Energy,Gas Equipment: Lost Heat Energy
Gas Equipment Lost Heat Rate,Gas Equipment,,Lost Heat Rate,Gas Equipment: Lost Heat Rate
Gas Equipment NaturalGas Energy,Gas Equipment,,NaturalGas Energy,Gas Equipment: NaturalGas Energy
Gas Equipment NaturalGas Rate,Gas Equipment,,NaturalGas Rate,Gas Equipment: NaturalGas Rate
Gas Equipment Radiant Heating Energy,Gas Equipment,,Radiant Heating Energy,Gas Equipment: Radiant Heating Energy
Gas Equipment Radiant Heating Rate,Gas Equipment,,Radiant Heating Rate,Gas Equipment: Radiant Heating Rate
Gas Equipment Total Heating Energy,Gas Equipment,,Total Heating Energy,Gas Equipment: Total Heating Energy
Gas Equipment Total Heating Rate,Gas Equipment,,Total Heating Rate,Gas Equipment: Total Heating Rate
Generic Air Contaminant Generation Volume Flow Rate,Generic,,Air Contaminant Generation Volume Flow Rate,Generic: Air Contaminant Generation Volume Flow Rate
Hot Water Equipment Convective Heating Energy,Hot Water Equipment,,Convective Heating Energy,Hot Water Equipment: Convective Heating Energy
Hot Water Equipment Convective Heating Rate,Hot Water Equipment,,Convective Heating Rate,Hot Water Equipment: Convective Heating Rate
Hot Water Equipment District Heating Energy,Hot Water Equipment,,District Heating Energy,Hot Water Equipment: District Heating Energy
Hot Water Equipment District Heating Rate,Hot Water Equipment,,District Heating Rate,Hot Water Equipment: District Heating Rate
Hot Water Equipment Latent Gain Energy,Hot Water Equipment,,Latent Gain Energy,Hot Water Equipment: Latent Gain Energy
Hot Water Equipment Latent Gain Rate,Hot Water Equipment,,Latent Gain Rate,Hot Water Equipment: Latent Gain Rate
Hot Water Equipment Lost Heat Energy,Hot Water Equipment,,Lost Heat Energy,Hot Water Equipment: Lost Heat Energy
Hot Water Equipment Lost Heat Rate,Hot Water Equipment,,Lost Heat Rate,Hot Water Equipment: Lost Heat Rate
Hot Water Equipment Radiant Heating Energy,Hot Water Equipment,,Radiant Heating Energy,Hot Water Equipment: Radiant Heating Energy
Hot Water Equipment Radiant Heating Rate,Hot Water Equipment,,Radiant Heating Rate,Hot Water Equipment: Radiant Heating Rate
Hot Water Equipment Total Heating Energy,Hot Water Equipment,,Total Heating Energy,Hot Water Equipment: Total Heating Energy
Hot Water Equipment Total Heating Rate,Hot Water Equipment,,Total Heating Rate,Hot Water Equipment: Total Heating Rate
ITE Adjusted Return Air Temperature,ITE,,Adjusted Return Air Temperature,ITE: Adjusted Return Air Temperature
ITE Air Mass Flow Rate,ITE,,Air Mass Flow Rate,ITE: Air Mass Flow Rate
ITE Any Air Inlet Dewpoint Temperature Above Operating Range Time,ITE,,Any Air Inlet Dewpoint Temperature Above Operating Range Time,ITE: Any Air Inlet Dewpoint Temperature Above Operating Range Time
ITE Any Air Inlet Dewpoint Temperature Below Operating Range Time,ITE,,Any Air Inlet Dewpoint Temperature Below Operating Range Time,ITE: Any Air Inlet Dewpoint Temperature Below Operating Range Time
ITE Any Air Inlet Dry-Bulb Temperature Above Operating Range Time,ITE,,Any Air Inlet Dry-Bulb Temperature Above Operating Range Time,ITE: Any Air Inlet Dry-Bulb Temperature Above Operating Range Time
ITE Any Air Inlet Dry-Bulb Temperature Below Operating Range Time,ITE,,Any Air Inlet Dry-Bulb Temperature Below Operating Range Time,ITE: Any Air Inlet Dry-Bulb Temperature Below Operating Range Time
ITE Any Air Inlet Operating Range Exceeded Time,ITE,,Any Air Inlet Operating Range Exceeded Time,ITE: Any Air Inlet Operating Range Exceeded Time
ITE Any Air Inlet Relative Humidity Above Operating Range Time,ITE,,Any Air Inlet Relative Humidity Above Operating Range Time,ITE: Any Air Inlet Relative Humidity Above Operating Range Time
ITE Any Air Inlet Relative Humidity Below Operating Range Time,ITE,,Any Air Inlet Relative Humidity Below Operating Range Time,ITE: Any Air Inlet Relative Humidity Below Operating Range Time
ITE Average Supply Heat Index,ITE,,Average Supply Heat Index,ITE: Average Supply Heat Index
ITE CPU Electricity Energy,ITE,,CPU Electricity Energy,ITE: CPU Electricity Energy
ITE CPU Electricity Energy at Design Inlet Conditions,ITE,,CPU Electricity Energy at Design Inlet Conditions,ITE: CPU Electricity Energy at Design Inlet Conditions
ITE CPU Electricity Rate,ITE,,CPU Electricity Rate,ITE: CPU Electricity Rate
ITE CPU Electricity Rate at Design Inlet Conditions,ITE,,CPU Electricity Rate at Design Inlet Conditions,ITE: CPU Electricity Rate at Design Inlet Conditions
ITE Fan Electricity Energy,ITE,,Fan Electricity Energy,ITE: Fan Electricity Energy
ITE Fan Electricity Energy at Design Inlet Conditions,ITE,,Fan Electricity Energy at Design Inlet Conditions,ITE: Fan Electricity Energy at Design Inlet Conditions
ITE Fan Electricity Rate,ITE,,Fan Electricity Rate,ITE: Fan Electricity Rate
ITE Fan Electricity Rate at Design Inlet Conditions,ITE,,Fan Electricity Rate at Design Inlet Conditions,ITE: Fan Electricity Rate at Design Inlet Conditions
ITE Standard Density Air Volume Flow Rate,ITE,,Standard Density Air Volume Flow Rate,ITE: Standard Density Air Volume Flow Rate
ITE Total Heat Gain to Zone Energy,ITE,,Total Heat Gain to Zone Energy,ITE: Total Heat Gain to Zone Energy
ITE Total Heat Gain to Zone Rate,ITE,,Total Heat Gain to Zone Rate,ITE: Total Heat Gain to Zone Rate
ITE UPS Electricity Energy,ITE,,UPS Electricity Energy,ITE: UPS Electricity Energy
ITE UPS Electricity Rate,ITE,,UPS Electricity Rate,ITE: UPS Electricity Rate
ITE UPS Heat Gain to Zone Energy,ITE,,UPS Heat Gain to Zone Energy,ITE: UPS Heat Gain to Zone Energy
ITE UPS Heat Gain to Zone Rate,ITE,,UPS Heat Gain to Zone Rate,ITE: UPS Heat Gain to Zone Rate
Ideal Loads Economizer Active Time,Ideal Loads,,Economizer Active Time,Ideal Loads: Economizer Active Time
Ideal Loads Heat Recovery Active Time,Ideal Loads,,Heat Recovery Active Time,Ideal Loads: Heat Recovery Active Time
Ideal Loads Heat Recovery Latent Cooling Energy,Ideal Loads,,Heat Recovery Latent Cooling Energy,Ideal Loads: Heat Recovery Latent Cooling Energy
Ideal Loads Heat Recovery Latent Cooling Rate,Ideal Loads,,Heat Recovery Latent Cooling Rate,Ideal Loads: Heat Recovery Latent Cooling Rate
Ideal Loads Heat Recovery Latent Heating Energy,Ideal Loads,,Heat Recovery Latent Heating Energy,Ideal Loads: Heat Recovery Latent Heating Energy
Ideal Loads Heat Recovery Latent Heating Rate,Ideal Loads,,Heat Recovery Latent Heating Rate,Ideal Loads: Heat Recovery Latent Heating Rate
Ideal Loads Heat Recovery Sensible Cooling Energy,Ideal Loads,,Heat Recovery Sensible Cooling Energy,Ideal Loads: Heat Recovery Sensible Cooling Energy
Ideal Loads Heat Recovery Sensible Cooling Rate,Ideal Loads,,Heat Recovery Sensible Cooling Rate,Ideal Loads: Heat Recovery Sensible Cooling Rate
Ideal Loads Heat Recovery Sensible Heating Energy,Ideal Loads,,Heat Recovery Sensible Heating Energy,Ideal Loads: Heat Recovery Sensible Heating Energy
Ideal Loads Heat Recovery Sensible Heating Rate,Ideal Loads,,Heat Recovery Sensible Heating Rate,Ideal Loads: Heat Recovery Sensible Heating Rate
Ideal Loads Heat Recovery Total Cooling Energy,Ideal Loads,,Heat Recovery Total Cooling Energy,Ideal Loads: Heat Recovery Total Cooling Energy
Ideal Loads Heat Recovery Total Cooling Rate,Ideal Loads,,Heat Recovery Total Cooling Rate,Ideal Loads: Heat Recovery Total Cooling Rate
Ideal Loads Heat Recovery Total Heating Energy,Ideal Loads,,Heat Recovery Total Heating Energy,Ideal Loads: Heat Recovery Total Heating Energy
Ideal Loads Heat Recovery Total Heating Rate,Ideal Loads,,Heat Recovery Total Heating Rate,Ideal Loads: Heat Recovery Total Heating Rate
Ideal Loads Hybrid Ventilation Available Status,Ideal Loads,,Hybrid Ventilation Available Status,Ideal Loads: Hybrid Ventilation Available Status
Ideal Loads Outdoor Air Latent Cooling Energy,Ideal Loads,,Outdoor Air Latent Cooling Energy,Ideal Loads: Outdoor Air Latent Cooling Energy
Ideal Loads Outdoor Air Latent Cooling Rate,Ideal Loads,,Outdoor Air Latent Cooling Rate,Ideal Loads: Outdoor Air Latent Cooling Rate
Ideal Loads Outdoor Air Latent Heating Energy,Ideal Loads,,Outdoor Air Latent Heating Energy,Ideal Loads: Outdoor Air Latent Heating Energy
Ideal Loads Outdoor Air Latent Heating Rate,Ideal Loads,,Outdoor Air Latent Heating Rate,Ideal Loads: Outdoor Air Latent Heating Rate
Ideal Loads Outdoor Air Mass Flow Rate,Ideal Loads,,Outdoor Air Mass Flow Rate,Ideal Loads: Outdoor Air Mass Flow Rate
Ideal Loads Outdoor Air Sensible Cooling Energy,Ideal Loads,,Outdoor Air Sensible Cooling Energy,Ideal Loads: Outdoor Air Sensible Cooling Energy
Ideal Loads Outdoor Air Sensible Cooling Rate,Ideal Loads,,Outdoor Air Sensible Cooling Rate,Ideal Loads: Outdoor Air Sensible Cooling Rate
Ideal Loads Outdoor Air Sensible Heating Energy,Ideal Loads,,Outdoor Air Sensible Heating Energy,Ideal Loads: Outdoor Air Sensible Heating Energy
Ideal Loads Outdoor Air Sensible Heating Rate,Ideal Loads,,Outdoor Air Sensible Heating Rate,Ideal Loads: Outdoor Air Sensible Heating Rate
Ideal Loads Outdoor Air Standard Density Volume Flow Rate,Ideal Loads,,Outdoor Air Standard Density Volume Flow Rate,Ideal Loads: Outdoor Air Standard Density Volume Flow Rate
Ideal Loads Outdoor Air Total Cooling Energy,Ideal Loads,,Outdoor Air Total Cooling Energy,Ideal Loads: Outdoor Air Total Cooling Energy
Ideal Loads Outdoor Air Total Cooling Rate,Ideal Loads,,Outdoor Air Total Cooling Rate,Ideal Loads: Outdoor Air Total Cooling Rate
Ideal Loads Outdoor Air Total Heating Energy,Ideal Loads,,Outdoor Air Total Heating Energy,Ideal Loads: Outdoor Air Total Heating Energy
Ideal Loads Outdoor Air Total Heating Rate,Ideal Loads,,Outdoor Air Total Heating Rate,Ideal Loads: Outdoor Air Total Heating Rate
Ideal Loads Supply Air Latent Cooling Energy,Ideal Loads,,Supply Air Latent Cooling Energy,Ideal Loads: Supply Air Latent Cooling Energy
Ideal Loads Supply Air Latent Cooling Rate,Ideal Loads,,Supply Air Latent Cooling Rate,Ideal Loads: Supply Air Latent Cooling Rate
Ideal Loads Supply Air Latent Heating Energy,Ideal Loads,,Supply Air Latent Heating Energy,Ideal Loads: Supply Air Latent Heating Energy
Ideal Loads Supply Air Latent Heating Rate,Ideal Loads,,Supply Air Latent Heating Rate,Ideal Loads: Supply Air Latent Heating Rate
Ideal Loads Supply Air Mass Flow Rate,Ideal Loads,,Supply Air Mass Flow Rate,Ideal Loads: Supply Air Mass Flow Rate
Ideal Loads Supply Air Sensible Cooling Energy,Ideal Loads,,Supply Air Sensible Cooling Energy,Ideal Loads: Supply Air Sensible Cooling Energy
Ideal Loads Supply Air Sensible Cooling Rate,Ideal Loads,,Supply Air Sensible Cooling Rate,Ideal Loads: Supply Air Sensible Cooling Rate
Ideal Loads Supply Air Sensible Heating Energy,Ideal Loads,,Supply Air Sensible Heating Energy,Ideal Loads: Supply Air Sensible Heating Energy
Ideal Loads Supply Air Sensible Heating Rate,Ideal Loads,,Supply Air Sensible Heating Rate,Ideal Loads: Supply Air Sensible Heating Rate
Ideal Loads Supply Air Standard Density Volume Flow Rate,Ideal Loads,,Supply Air Standard Density Volume Flow Rate,Ideal Loads: Supply Air Standard Density Volume Flow Rate
Ideal Loads Supply Air Total Cooling Energy,Ideal Loads,,Supply Air Total Cooling Energy,Ideal Loads: Supply Air Total Cooling Energy
Ideal Loads Supply Air Total Cooling Fuel Energy,Ideal Loads,,Supply Air Total Cooling Fuel Energy,Ideal Loads: Supply Air Total Cooling Fuel Energy
Ideal Loads Supply Air Total Cooling Fuel Energy Rate,Ideal Loads,,Supply Air Total Cooling Fuel Energy Rate,Ideal Loads: Supply Air Total Cooling Fuel Energy Rate
Ideal Loads Supply Air Total Cooling Rate,Ideal Loads,,Supply Air Total Cooling Rate,Ideal Loads: Supply Air Total Cooling Rate
Ideal Loads Supply Air Total Heating Energy,Ideal Loads,,Supply Air Total Heating Energy,Ideal Loads: Supply Air Total Heating Energy
Ideal Loads Supply Air Total Heating Fuel Energy,Ideal Loads,,Supply Air Total Heating Fuel Energy,Ideal Loads: Supply Air Total Heating Fuel Energy
Ideal Loads Supply Air Total Heating Fuel Energy Rate,Ideal Loads,,Supply Air Total Heating Fuel Energy Rate,Ideal Loads: Supply Air Total Heating Fuel Energy Rate
Ideal Loads Supply Air Total Heating Rate,Ideal Loads,,Supply Air Total Heating Rate,Ideal Loads: Supply Air Total Heating Rate
Ideal Loads Zone Cooling Fuel Energy,Ideal Loads,,Zone Cooling Fuel Energy,Ideal Loads: Zone Cooling Fuel Energy
Ideal Loads Zone Cooling Fuel Energy Rate,Ideal Loads,,Zone Cooling Fuel Energy Rate,Ideal Loads: Zone Cooling Fuel Energy Rate
Ideal Loads Zone Heating Fuel Energy,Ideal Loads,,Zone Heating Fuel Energy,Ideal Loads: Zone Heating Fuel Energy
Ideal Loads Zone Heating Fuel Energy Rate,Ideal Loads,,Zone Heating Fuel Energy Rate,Ideal Loads: Zone Heating Fuel Energy Rate
Ideal Loads Zone Latent Cooling Energy,Ideal Loads,,Zone Latent Cooling Energy,Ideal Loads: Zone Latent Cooling Energy
Ideal Loads Zone Latent Cooling Rate,Ideal Loads,,Zone Latent Cooling Rate,Ideal Loads: Zone Latent Cooling Rate
Ideal Loads Zone Latent Heating Energy,Ideal Loads,,Zone Latent Heating Energy,Ideal Loads: Zone Latent Heating Energy
Ideal Loads Zone Latent Heating Rate,Ideal Loads,,Zone Latent Heating Rate,Ideal Loads: Zone Latent Heating Rate
Ideal Loads Zone Sensible Cooling Energy,Ideal Loads,,Zone Sensible Cooling Energy,Ideal Loads: Zone Sensible Cooling Energy
Ideal Loads Zone Sensible Cooling Rate,Ideal Loads,,Zone Sensible Cooling Rate,Ideal Loads: Zone Sensible Cooling Rate
Ideal Loads Zone Sensible Heating Energy,Ideal Loads,,Zone Sensible Heating Energy,Ideal Loads: Zone Sensible Heating Energy
Ideal Loads Zone Sensible Heating Rate,Ideal Loads,,Zone Sensible Heating Rate,Ideal Loads: Zone Sensible Heating Rate
Ideal Loads Zone Total Cooling Energy,Ideal Loads,,Zone Total Cooling Energy,Ideal Loads: Zone Total Cooling Energy
Ideal Loads Zone Total Cooling Rate,Ideal Loads,,Zone Total Cooling Rate,Ideal Loads: Zone Total Cooling Rate
Ideal Loads Zone Total Heating Energy,Ideal Loads,,Zone Total Heating Energy,Ideal Loads: Zone Total Heating Energy
Ideal Loads Zone Total Heating Rate,Ideal Loads,,Zone Total Heating Rate,Ideal Loads: Zone Total Heating Rate
Infiltration Current Density Air Change Rate,Infiltration,,Current Density Air Change Rate,Infiltration: Current Density Air Change Rate
Infiltration Current Density Volume,Infiltration,,Current Density Volume,Infiltration: Current Density Volume
Infiltration Current Density Volume Flow Rate,Infiltration,,Current Density Volume Flow Rate,Infiltration: Current Density Volume Flow Rate
Infiltration Latent Heat Gain Energy,Infiltration,,Latent Heat Gain Energy,Infiltration: Latent Heat Gain Energy
Infiltration Latent Heat Loss Energy,Infiltration,,Latent Heat Loss Energy,Infiltration: Latent Heat Loss Energy
Infiltration Mass,Infiltration,,Mass,Infiltration: Mass
Infiltration Mass Flow Rate,Infiltration,,Mass Flow Rate,Infiltration: Mass Flow Rate
Infiltration Outdoor Density Air Change Rate,Infiltration,,Outdoor Density Air Change Rate,Infiltration: Outdoor Density Air Change Rate
Infiltration Outdoor Density Volume Flow Rate,Infiltration,,Outdoor Density Volume Flow Rate,Infiltration: Outdoor Density Volume Flow Rate
Infiltration Sensible Heat Gain Energy,Infiltration,,Sensible Heat Gain Energy,Infiltration: Sensible Heat Gain Energy
Infiltration Sensible Heat Loss Energy,Infiltration,,Sensible Heat Loss Energy,Infiltration: Sensible Heat Loss Energy
Infiltration Standard Density Air Change Rate,Infiltration,,Standard Density Air Change Rate,Infiltration: Standard Density Air Change Rate
Infiltration Standard Density Volume,Infiltration,,Standard Density Volume,Infiltration: Standard Density Volume
Infiltration Standard Density Volume Flow Rate,Infiltration,,Standard Density Volume Flow Rate,Infiltration: Standard Density Volume Flow Rate
Infiltration Total Heat Gain Energy,Infiltration,,Total Heat Gain Energy,Infiltration: Total Heat Gain Energy
Infiltration Total Heat Loss Energy,Infiltration,,Total Heat Loss Energy,Infiltration: Total Heat Loss Energy
Interior Windows Total Transmitted Beam Solar Radiation Energy,Interior Windows,,Total Transmitted Beam Solar Radiation Energy,Interior Windows: Total Transmitted Beam Solar Radiation Energy
Interior Windows Total Transmitted Beam Solar Radiation Rate,Interior Windows,,Total Transmitted Beam Solar Radiation Rate,Interior Windows: Total Transmitted Beam Solar Radiation Rate
Interior Windows Total Transmitted Diffuse Solar Radiation Energy,Interior Windows,,Total Transmitted Diffuse Solar Radiation Energy,Interior Windows: Total Transmitted Diffuse Solar Radiation Energy
Interior Windows Total Transmitted Diffuse Solar Radiation Rate,Interior Windows,,Total Transmitted Diffuse Solar Radiation Rate,Interior Windows: Total Transmitted Diffuse Solar Radiation Rate
Lights Convective Heating Energy,Lights,,Convective Heating Energy,Lights: Convective Heating Energy
Lights Convective Heating Rate,Lights,,Convective Heating Rate,Lights: Convective Heating Rate
Lights Electricity Energy,Lights,,Electricity Energy,Lights: Electricity Energy
Lights Electricity Rate,Lights,,Electricity Rate,Lights: Electricity Rate
Lights Radiant Heating Energy,Lights,,Radiant Heating Energy,Lights: Radiant Heating Energy
Lights Radiant Heating Rate,Lights,,Radiant Heating Rate,Lights: Radiant Heating Rate
Lights Return Air Heating Energy,Lights,,Return Air Heating Energy,Lights: Return Air Heating Energy
Lights Return Air Heating Rate,Lights,,Return Air Heating Rate,Lights: Return Air Heating Rate
Lights Total Heating Energy,Lights,,Total Heating Energy,Lights: Total Heating Energy
Lights Total Heating Rate,Lights,,Total Heating Rate,Lights: Total Heating Rate
Lights Visible Radiation Heating Energy,Lights,,Visible Radiation Heating Energy,Lights: Visible Radiation Heating Energy
Lights Visible Radiation Heating Rate,Lights,,Visible Radiation Heating Rate,Lights: Visible Radiation Heating Rate
Mean Air Dewpoint Temperature,Mean,,Air Dewpoint Temperature,Mean: Air Dewpoint Temperature
Mean Air Temperature,Mean,,Air Temperature,Mean: Air Temperature
Mean Radiant Temperature,Mean,,Radiant Temperature,Mean: Radiant Temperature
Mechanical Ventilation Air Changes per Hour,Mechanical Ventilation,,Air Changes per Hour,Mechanical Ventilation: Air Changes per Hour
Mechanical Ventilation Cooling Load Decrease Energy,Mechanical Ventilation,,Cooling Load Decrease Energy,Mechanical Ventilation: Cooling Load Decrease Energy
Mechanical Ventilation Cooling Load Increase Energy,Mechanical Ventilation,,Cooling Load Increase Energy,Mechanical Ventilation: Cooling Load Increase Energy
Mechanical Ventilation Cooling Load Increase Energy Due to Overheating Energy,Mechanical Ventilation,,Cooling Load Increase Energy Due to Overheating Energy,Mechanical Ventilation: Cooling Load Increase Energy Due to Overheating Energy
Mechanical Ventilation Current Density Volume,Mechanical Ventilation,,Current Density Volume,Mechanical Ventilation: Current Density Volume
Mechanical Ventilation Current Density Volume Flow Rate,Mechanical Ventilation,,Current Density Volume Flow Rate,Mechanical Ventilation: Current Density Volume Flow Rate
Mechanical Ventilation Heating Load Decrease Energy,Mechanical Ventilation,,Heating Load Decrease Energy,Mechanical Ventilation: Heating Load Decrease Energy
Mechanical Ventilation Heating Load Increase Energy,Mechanical Ventilation,,Heating Load Increase Energy,Mechanical Ventilation: Heating Load Increase Energy
Mechanical Ventilation Heating Load Increase Energy Due to Overcooling Energy,Mechanical Ventilation,,Heating Load Increase Energy Due to Overcooling Energy,Mechanical Ventilation: Heating Load Increase Energy Due to Overcooling Energy
Mechanical Ventilation Mass,Mechanical Ventilation,,Mass,Mechanical Ventilation: Mass
Mechanical Ventilation Mass Flow Rate,Mechanical Ventilation,,Mass Flow Rate,Mechanical Ventilation: Mass Flow Rate
Mechanical Ventilation No Load Heat Addition Energy,Mechanical Ventilation,,No Load Heat Addition Energy,Mechanical Ventilation: No Load Heat Addition Energy
Mechanical Ventilation No Load Heat Removal Energy,Mechanical Ventilation,,No Load Heat Removal Energy,Mechanical Ventilation: No Load Heat Removal Energy
Mechanical Ventilation Standard Density Volume,Mechanical Ventilation,,Standard Density Volume,Mechanical Ventilation: Standard Density Volume
Mechanical Ventilation Standard Density Volume Flow Rate,Mechanical Ventilation,,Standard Density Volume Flow Rate,Mechanical Ventilation: Standard Density Volume Flow Rate
Operative Temperature,Operative,,Temperature,Operative: Temperature
Other Equipment Convective Heating Energy,Other Equipment,,Convective Heating Energy,Other Equipment: Convective Heating Energy
Other Equipment Convective Heating Rate,Other Equipment,,Convective Heating Rate,Other Equipment: Convective Heating Rate
Other Equipment Latent Gain Energy,Other Equipment,,Latent Gain Energy,Other Equipment: Latent Gain Energy
Other Equipment Latent Gain Rate,Other Equipment,,Latent Gain Rate,Other Equipment: Latent Gain Rate
Other Equipment Lost Heat Energy,Other Equipment,,Lost Heat Energy,Other Equipment: Lost Heat Energy
Other Equipment Lost Heat Rate,Other Equipment,,Lost Heat Rate,Other Equipment: Lost Heat Rate
Other Equipment Radiant Heating Energy,Other Equipment,,Radiant Heating Energy,Other Equipment: Radiant Heating Energy
Other Equipment Radiant Heating Rate,Other Equipment,,Radiant Heating Rate,Other Equipment: Radiant Heating Rate
Other Equipment Total Heating Energy,Other Equipment,,Total Heating Energy,Other Equipment: Total Heating Energy
Other Equipment Total Heating Rate,Other Equipment,,Total Heating Rate,Other Equipment: Total Heating Rate
Outdoor Air Drybulb Temperature,Outdoor Air,,Drybulb Temperature,Outdoor Air: Drybulb Temperature
Outdoor Air Wetbulb Temperature,Outdoor Air,,Wetbulb Temperature,Outdoor Air: Wetbulb Temperature
Outdoor Air Wind Speed,Outdoor Air,,Wind Speed,Outdoor Air: Wind Speed
People Convective Heating Energy,People,,Convective Heating Energy,People: Convective Heating Energy
People Convective Heating Rate,People,,Convective Heating Rate,People: Convective Heating Rate
People Latent Gain Energy,People,,Latent Gain Energy,People: Latent Gain Energy
People Latent Gain Rate,People,,Latent Gain Rate,People: Latent Gain Rate
People Occupant Count,People,,Occupant Count,People: Occupant Count
People Radiant Heating Energy,People,,Radiant Heating Energy,People: Radiant Heating Energy
People Radiant Heating Rate,People,,Radiant Heating Rate,People: Radiant Heating Rate
People Sensible Heating Energy,People,,Sensible Heating Energy,People: Sensible Heating Energy
People Sensible Heating Rate,People,,Sensible Heating Rate,People: Sensible Heating Rate
People Total Heating Energy,People,,Total Heating Energy,People: Total Heating Energy
People Total Heating Rate,People,,Total Heating Rate,People: Total Heating Rate
Predicted Moisture Load Moisture Transfer Rate,Predicted,,Moisture Load Moisture Transfer Rate,Predicted: Moisture Load Moisture Transfer Rate
